id,username,created_at,lng,lat,text
1517031961902125056,StefanIsSoHott,Thu Apr 21 06:46:19 +0000 2022,-77.60468399999999,41.1179365,@Gabby_0z @shubh_pawar @ben_dietd @AlaskaAir So you're OK with pilots and flight crews actively encouraging passeng… https://t.co/QDzfEOmLdb
1517031972836630536,schoolinlife13,Thu Apr 21 06:46:22 +0000 2022,-75.117998,40.0048655,Its a lot that most ppl will say about me what they could NEVER  say is i am ungrateful! Chile I’m Thankful for it… https://t.co/eC2cV8NLzG
1517031974900273152,SoUp4it,Thu Apr 21 06:46:22 +0000 2022,-83.099288,42.3527865,@Emywinst Annoying B**ch!
1517031977697828864,Angie96001,Thu Apr 21 06:46:23 +0000 2022,-75.117998,40.0048655,@ProphetJoLynne Amen
1517031978360393728,MarQuis_LaVelle,Thu Apr 21 06:46:23 +0000 2022,-115.135165,36.0609645,@ruro_ray @ShannonSharpe Boy… YOU KNOW THEY CANT FIND THAT TAPE 😎
1517031979266494469,gernicoli,Thu Apr 21 06:46:23 +0000 2022,-85.51020700000001,36.1395275,@SexxyyAnn1 @Rosanna86x Perfect
1517031979618766850,waifufilez,Thu Apr 21 06:46:23 +0000 2022,-118.4119065,34.0207895,“Girls Trip” https://t.co/Qa1SG0N0md
1517031981476986882,AlejandroRoche4,Thu Apr 21 06:46:24 +0000 2022,-80.34760349999999,25.876217500000003,@AlphaKongsClub It doesn’t let me claim my serum
1517031986891739137,Patrici20765403,Thu Apr 21 06:46:25 +0000 2022,-89.5960515,40.6446025,But Biden is running in 2024
1517031990217740289,notandrew696,Thu Apr 21 06:46:26 +0000 2022,-122.645857,45.52266,I just know everyone in this plaid pantry rn high as hell 😎 lmao
1517031989966159874,thedialectinva,Thu Apr 21 06:46:26 +0000 2022,-76.36227600000001,37.0508965,Do you remember when you joined Twitter? I do! #MyTwitterAnniversary https://t.co/vhoVwlT2IV
